Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery,LiPo_Recycled_welefant,6.75,-37.9825,90.0,top
C1,33n,C0603,-20.8,-45.8,-90.0,top
C2,33n,C0603,-24.8,-28.15,90.0,top
C3,1u,C0603,30.1,-21.5,-90.0,top
C4,10u,C0603,-24.0,-45.8,90.0,top
C5,10u,C0603,-23.0,-28.15,-90.0,top
C6,1u,C0603,28.0,-19.2,0.0,top
C7,100n,C0603,2.03,9.1,-90.0,top
C8,10u,C0603,-20.5,0.8,90.0,top
C9,10u,C0603,-17.24,10.17,0.0,top
C10,10u,C0603,-28.51,-2.05,0.0,top
C11,1u,C0603,-38.0,28.4,90.0,top
C12,100n,C0603,-11.6,31.2,90.0,top
C13,22u,C0603,-13.4,31.2,90.0,top
CLED1,yellow,LED0603-RD-YELLOW,-21.8,-3.6,180.0,top
D1,3V3,LL-34_L3.5-W1.5-RD,-12.0,16.0,90.0,top
D2,3V3,LL-34_L3.5-W1.5-RD,-14.2,15.99,90.0,top
D3,5V6,LL-34_L3.5-W1.5-RD,-18.1,0.6,90.0,top
D4,1N5819WS,D_SOD-323,24.6,-20.8,180.0,top
LED21,blue,LED0603-FD_BLUE,-13.0,20.6,90.0,top
Q1,AO3401A,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,20.2,-5.5,0.0,top
Q2,AO3401A,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,-14.15,-3.05,-90.0,top
Q3,AO3401A,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,-30.4,17.2,0.0,top
R1,10K,R0603,21.3,-2.0,90.0,top
R2,5.1K,R0603,21.0,-24.75,-90.0,top
R3,1K,R0603,19.6,-2.0,90.0,top
R4,270,R0603,-15.0,-45.8,-90.0,top
R5,270,R0603,-28.3,-28.2,-90.0,top
R6,150,R0603,-17.8,-45.8,-90.0,top
R7,150,R0603,-26.6,-28.15,90.0,top
R8,5.1K,R0603,20.6,-29.8,-90.0,top
R9,1K,R0603,-17.4,-4.2,180.0,top
R10,10K,R0603,-16.1,1.4,-90.0,top
R12,1K,R0603,-30.0,23.0,0.0,top
R13,3K3,R0603_NEW,-23.8,7.0,90.0,top
R14,390K,R0603,-30.0,21.4,180.0,top
R15,100K,R0603,-30.0,19.6,180.0,top
R16,330,R0603,-14.8,20.6,-90.0,top
R17,10K,R0603,-15.0,29.6,-90.0,top
R18,10K,R0603,-30.0,24.6,0.0,top
R19,330,R0603,-21.8,-5.18,180.0,top
SW2,RESET,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,-32.6,28.4,180.0,top
SW3,BOOT,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,22.4,7.95,0.0,top
U1,NCP167BMX330TBG,XDFN-4,27.6,-20.8,180.0,top
U3,GSA4737H12-F26-6P,MIC-SMD_GSA4737H12-F26-6P,-1.4,8.97,-90.0,top
U4,TP4056,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,-24.46,0.91,180.0,top
USB1,USB-TYPE-C-018,USB-C_SMD-TYPE-C-31-M-12,25.512173,-27.765506,84.0,top
